Facility Name,City,State,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison
BANNER BOSWELL MEDICAL CENTER,SUN CITY,AZ,(623) 832-4000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ,(928) 537-6399,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,TUCSON,AZ,(520) 874-4189,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
BANNER DESERT MEDICAL CENTER,MESA,AZ,(480) 412-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
MT. GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,AZ,(928) 348-4000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Not Available,Below the national average,Same as the national average,Above the national average,Same as the national average
HAVASU REGIONAL MEDICAL CENTER,LAKE HAVASU CITY,AZ,(928) 855-8185,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,(928) 729-8000,Acute Care Hospitals,Government - Federal,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Below the national average
TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,(928) 283-2501,Acute Care Hospitals,Voluntary non-profit - Other,No,4,Not Available,Above the national average,Above the national average,Below the national average,Same as the national average
SELLS HOSPITAL,SELLS,AZ,(520) 362-7003,Acute Care Hospitals,Tribal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SAN CARLOS APACHE HEALTHCARE CORP,PERIDOT,AZ,(928) 475-1200,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PHOENIX INDIAN MEDICAL CENTER,PHOENIX,AZ,(602) 263-1200,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
ABRAZO SCOTTSDALE CAMPUS,PHOENIX,AZ,(602) 923-5000,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,(928) 674-7001,Acute Care Hospitals,Government - Federal,Yes,4,Not Available,Not Available,Above the national average,Same as the national average,Below the national average
NORTHWEST MEDICAL CENTER,TUCSON,AZ,(520) 469-8100,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,SCOTTSDALE,AZ,(480) 323-3000,Acute Care Hospitals,Proprietary,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
BANNER BAYWOOD MEDICAL CENTER,MESA,AZ,(480) 321-2000,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ,(602) 865-4470,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
HONORHEALTH DEER VALLEY MEDICAL CENTER,PHOENIX,AZ,(623) 879-6100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
BANNER DEL E. WEBB MEDICAL CENTER,SUN CITY WEST,AZ,(623) 524-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
ARROWHEAD HOSPITAL,GLENDALE,AZ,(623) 561-1000,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
WESTERN ARIZONA REGIONAL MEDICAL CENTER,BULLHEAD CITY,AZ,(928) 763-2273,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
MAYO CLINIC HOSPITAL,PHOENIX,AZ,(480) 342-4201,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
BANNER HEART HOSPITAL,MESA,AZ,(480) 854-5050,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Not Available
ARIZONA SPINE AND JOINT HOSPITAL,MESA,AZ,(480) 832-4770,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",PHOENIX,AZ,(602) 795-6020,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
ABRAZO WEST CAMPUS,GOODYEAR,AZ,(623) 882-1970,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,TUCSON,AZ,(520) 874-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,CHANDLER,AZ,(480) 603-9000,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
WHITERIVER PHS INDIAN HOSPITAL,WHITERIVER,AZ,(928) 338-4911,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ORO VALLEY HOSPITAL,ORO VALLEY,AZ,(520) 901-3549,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
BANNER ESTRELLA MEDICAL CENTER,PHOENIX,AZ,(623) 327-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
VALLEY VIEW MEDICAL CENTER,FORT MOHAVE,AZ,(928) 788-2273,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
MERCY GILBERT MEDICAL CENTER,GILBERT,AZ,(480) 728-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,(480) 358-6100,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
BANNER GATEWAY MEDICAL CENTER,GILBERT,AZ,(480) 543-2000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,SCOTTSDALE,AZ,(480) 324-7001,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
BANNER IRONWOOD MEDICAL CENTER,QUEEN CREEK,AZ,(480) 394-4030,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
O.A.S.I.S. HOSPITAL,PHOENIX,AZ,(602) 797-7700,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
BANNER GOLDFIELD MEDICAL CENTER,APACHE JUNCTION,AZ,(480) 733-3300,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,LAVEEN,AZ,(623) 584-5100,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
SANTA CRUZ VALLEY REGIONAL HOSPITAL,GREEN VALLEY,AZ,(520) 393-4700,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average
WESTERN REGIONAL MEDICAL CENTER,GOODYEAR,AZ,(623) 207-3518,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,MESA,AZ,(480) 410-4500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WICKENBURG COMMUNITY HOSPITAL,WICKENBURG,AZ,(928) 684-5421,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
BENSON HOSPITAL,BENSON,AZ,(520) 586-2261,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",WILLCOX,AZ,(520) 384-3541,Critical Access Hospitals,Government - Hospital District or Authority,Yes,2,Not Available,Not Available,Below the national average,Not Available,Not Available
PAGE HOSPITAL,PAGE,AZ,(928) 645-2424,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
HOPI HEALTH CARE CENTER,POLACCA,AZ,(928) 737-6000,Critical Access Hospitals,Tribal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PARKER INDIAN HEALTH CENTER,PARKER,AZ,(928) 669-2137,Critical Access Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HUHU KAM MEMORIAL HOSPITAL,SACATON,AZ,(520) 562-3321,Critical Access Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SAGE MEMORIAL HOSPITAL,GANADO,AZ,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LITTLE COLORADO MEDICAL CENTER,WINSLOW,AZ,(928) 289-4691,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Above the national average,Same as the national average,Not Available
COPPER QUEEN COMMUNITY HOSPITAL,BISBEE,AZ,(520) 432-6401,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
HOLY CROSS HOSPITAL,NOGALES,AZ,(520) 285-3000,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average
COBRE VALLEY REGIONAL MEDICAL CENTER,GLOBE,AZ,(928) 402-1122,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average
